id,title_similar_ind,description_similar_ind
55696265,"[55695623, 25202283, 23966748, 48754164, 56410108, 50272286]","[55025250, 55695623, 25202283, 48754164, 58709179, 56410108, 50272286]"
58723520,"[54389415, 19346989, 54389395, 23966743, 4106363, 10123965, 56602526, 4106495]","[54389411, 54389415, 54389407, 54389395, 55573620, 4071577, 4107967]"
50006794,"[54389415, 48018646, 23966743, 4106363, 23966748, 10123965, 54389407]","[54389415, 65084136, 19346991, 54389395, 23966743, 4106363, 10123965, 54389407]"
50272286,"[55025250, 55696265, 25202283, 48754164, 23966743, 23966748]","[55025250, 55695623, 55696265, 25202283, 48754164, 56410108]"
53904321,"[65084136, 25202283, 1664525, 50317469, 23966748, 53977565, 37667006, 53977374]","[53904321, 55025250, 27979415, 25202283, 50272286, 53977565, 37667006, 53977374]"
48018648,"[54389415, 25202283, 48754164, 978036, 23966743, 23966748]","[1738407, 65084136, 48982090, 25202283, 978036, 4396853, 23966748, 50272286]"
23436448,"[55025250, 49895267, 53261220, 54389413, 15734790, 14677740, 56115411, 58723518, 56602526]","[49895267, 53261220, 56115411, 48754164, 55582071, 23966746, 50317469, 4106495]"
17495500,"[26145056, 49895267, 55695623, 771591, 55696265, 67349493, 36300315, 56410108]","[49895267, 49895269, 48018642, 55582071, 36300315, 58723518]"
19346987,"[16680482, 65084136, 48018642, 23966746, 23966748, 50317469, 56602526, 4107967]","[52317345, 65084136, 19346989, 19346991, 48753629, 56115411, 10123965, 4106495]"
508688,"[1610019, 508835, 508741, 437484, 1826671, 541333, 517337, 508891]","[508835, 508812, 508752, 508826, 508891, 508893]"
56410108,"[55025250, 55695623, 55696265, 25202283, 48754164, 58709179, 50272286]","[55025250, 55695623, 55696265, 25202283, 48754164, 50272286]"
53977565,"[26145056, 53904321, 12207266, 1664525, 48754164, 67349493, 58709179, 50317469, 37667006, 53977374]","[53904321, 12207266, 15734790, 12207560, 1664525, 48754164, 67349493, 12208153, 36300315, 50317469]"
56602526,"[4106563, 19346987, 14677740, 33581326, 800399, 55573620, 23966742, 23966746, 23966748, 4107967]","[26145056, 54389409, 49895267, 14677740, 800399, 27979415, 4106363, 50317469]"
4106363,"[58723520, 54389415, 50006794, 3738989, 54389395, 4396853, 23966743, 23966748, 10123965, 54389407]","[58723520, 54389415, 54389395, 48018646, 27979415, 10123965, 56602526, 54389407]"
27979415,"[58723520, 54389415, 1738407, 3738989, 67349493, 4106363, 23966748, 37667006, 53977374]","[53904321, 24889348, 25202283, 3738989, 1664525, 800399, 4106363, 10123965, 53977374]"
23966743,"[54389415, 50006794, 25202283, 54389395, 4106363, 23966748, 54389407]","[54389415, 65084136, 50006794, 19346989, 54389395, 4106363, 10123965, 54389407]"
4071579,"[53904321, 54389409, 10123965, 1664525, 7611823, 55573620, 67349493, 50317469, 37667006, 53977374]","[58723520, 55025250, 55054903, 19346991, 56115411, 4396853, 27979415, 51617979, 53977374, 4106495]"
3738989,"[58723520, 54389415, 1738407, 67349493, 27979415, 4106363, 23966748, 37667006, 53977374]","[58723520, 53904321, 25202283, 1664525, 800399, 7611823, 27979415, 50272286, 53977374]"
508783,"[508864, 508801, 508870, 508812, 508790, 508792]","[508864, 508801, 508870, 508790, 508792]"
342120,"[341792, 341793, 342123, 342128, 342129, 50433496]","[341792, 342121, 347755, 342129, 342132, 431518]"
19346991,"[15734786, 54389415, 25202283, 48754164, 23966743, 23966748]","[53904321, 15734786, 65084136, 19346987, 1664525, 10123965]"
23966742,"[26145056, 12207266, 1738407, 33581326, 11658897, 12208153, 23966746, 56602526]","[54389409, 52317347, 65084136, 19346987, 19346989, 48018648, 10123965]"
508790,"[508864, 508801, 508870, 508812, 508783, 508792]","[508864, 508801, 508870, 508783, 508792]"
771591,"[58723520, 26145056, 54389415, 17495500, 1664525, 3738989, 67349493, 36300315, 53977565, 37667006]","[986210, 52317347, 31265956, 49895271, 48982090, 67349493, 921817, 36300315, 50317469]"
53977374,"[58723520, 53904321, 4106363, 1664525, 54651086, 3738989, 27979415, 4071579, 53977565, 37667006]","[52317345, 53904321, 3738989, 1664525, 11658897, 4396853, 27979415, 4106363, 10123965, 37667006]"
508801,"[508864, 508870, 508812, 508783, 508790, 508792]","[508864, 508870, 508783, 508790, 508792]"
557849,"[10593958, 787046, 508891, 517260, 508750, 787056, 508688, 541333, 583670, 369179]","[829894, 829896, 53301004, 342125, 508750, 342130, 508372, 583670]"
4071577,"[58390336, 54389409, 24889348, 1664525, 800399, 7611823, 55573620, 10123965]","[58723520, 54389411, 14677740, 55573620, 55582071, 4107967]"
555820,"[342121, 508682, 7611825, 557809, 508881, 342132]","[508741, 508682, 557809, 508881, 7611825, 490898, 557814]"
16680482,"[58390336, 24889348, 49895269, 55695623, 19346987, 48018642, 10123965, 58723518]","[53904321, 12207266, 12207560, 1664525, 27979415, 12208153, 53977565]"
20029489,"[54389415, 65084136, 25202283, 19346989, 48754164, 23966748]","[23436448, 53261220, 25202283, 48018642, 48018646, 23966743, 4106363, 50272286]"
341792,"[342144, 446881, 342120, 7887150, 342128, 11982003, 583670]","[342144, 342120, 342121, 347657, 20440458, 342128, 431518]"
56115411,"[23436448, 54389415, 19346987, 55054903, 23966746, 51617979, 37667006, 56602526]","[55025250, 25202283, 48754164, 55054903, 23966746, 50272286]"
50490149,"[58390336, 24889348, 15734790, 25202283, 1664525, 55573620, 37667006]","[55025250, 25202283, 56115411, 55054903, 23966746, 51617979]"
508870,"[508864, 508801, 508745, 508812, 508783, 56512145, 508790, 508792]","[508864, 508801, 508783, 508790, 508792]"
508682,"[342144, 508835, 555820, 7611825, 508881, 557809]","[555820, 557809, 508881, 7611825, 9110425, 508826, 508891]"
508864,"[508801, 508870, 508783, 508790, 508792]","[508801, 508870, 508783, 508790, 508792]"
508792,"[508864, 508801, 508870, 508812, 508783, 508790]","[508864, 508801, 508870, 508783, 508790]"
31362547,"[31371712, 31265956, 31375369, 28055759, 31367323]","[31371712, 31265956, 31375369, 28040139, 31367323]"
26145056,"[54389415, 1738407, 771591, 17495500, 11658897, 48754164, 67349493, 23966742, 23966748, 53977565]","[54389413, 14677740, 55573620, 55582071, 51617979, 50317469, 58723518, 4107967]"
31265956,"[31375369, 28040139, 33581326, 28055759, 31362547]","[31371712, 31375369, 33581326, 31362547, 31367323]"
65084136,"[53904321, 25202283, 1664525, 67349493, 23966748, 10123965, 37667006]","[53904321, 55025250, 1664525, 19346989, 23966743, 10123965]"
557809,"[508682, 555820, 48481710, 508752, 508881, 7611825, 508826]","[508741, 508682, 555820, 508881, 7611825, 490898, 557814]"
342123,"[342124, 342125, 342128, 342129, 342130]","[508898, 54694180, 508741, 342128, 342130, 517337]"
31367323,"[31371712, 58390336, 24889348, 1664525, 31362547, 55573620]","[31371712, 31265956, 31375369, 28040139, 31362547]"
67349493,"[49895269, 65084136, 48982090, 1664525, 55582071, 36300315, 4071579, 50317469, 37667006]","[49895267, 49895269, 48018642, 55582071, 50317469, 58723518]"
52317345,"[53904321, 986210, 54651086, 11658897, 55054903, 58709179, 53977565, 53977374]","[12207266, 52317347, 52317351, 54651086, 11658897, 53977374]"
48018646,"[58723520, 54389409, 54389415, 50006794, 1664525, 56115411, 10123965, 37667006, 4106495]","[58723520, 54389415, 65084136, 25202283, 54389395, 23966743, 4106363, 10123965, 54389407]"
342121,"[341793, 701699, 701865, 508812, 508752, 508893, 342130, 36899261]","[341792, 342120, 508752, 342132, 431518]"
800399,"[4106563, 1738407, 4071577, 23966748, 56602526, 4106495]","[4106563, 1738407, 25202283, 3738989, 48754164, 27979415, 4071577, 50317469, 50272286]"
4107967,"[23436448, 19346987, 14677740, 800399, 7611823, 48018642, 55573620, 56602526]","[54389411, 14677740, 54389395, 55573620, 55582071, 4071577, 58723518]"
14677740,"[23436448, 53261220, 800399, 7611823, 56115411, 55573620, 56602526, 4107967]","[54389411, 54389395, 55573620, 55582071, 4071577, 58723518, 4107967]"
508898,"[341793, 508870, 508745, 508812, 342130, 508790, 508792, 508891]","[54694180, 508741, 508750, 517337, 508826, 508891, 508893]"
52317347,"[58390336, 52317351, 12207560, 3738989, 58457390, 1664525, 67349493, 27979415]","[52317351, 12207560, 54651086, 11658897, 12208153]"
52317351,"[12207266, 3738989, 54651086, 11658897, 23966742, 27979415, 12208153, 48753629]","[52317345, 12207266, 52317347, 54651086, 11658897]"
53261220,"[23436448, 49895267, 49895271, 14677740, 56115411, 58723518, 48753629, 56602526]","[49895267, 53261220, 56115411, 48754164, 55582071, 23966746, 50317469, 4106495]"
411644,"[58087968, 34827430, 35862153, 59618902, 809815]","[58087968, 35862153, 60854828, 806542, 470709, 2805781, 67370871, 1057432]"
508893,"[341793, 508812, 342124, 342125, 342130, 440757, 36899261]","[508835, 508745, 508812, 508752, 508826, 508891]"
508752,"[342121, 508812, 508826, 508891, 508893]","[508835, 342121, 508812, 508826, 508891, 508893]"
12207266,"[52317351, 12207560, 54651086, 23966742, 12208153, 53977565]","[52317347, 52317351, 12207560, 11658897, 12208153, 53977565]"
508741,"[342144, 508835, 437484, 508688, 7611825, 557814, 435320, 517337, 36710746]","[508898, 54694180, 508682, 342123, 517337, 508826]"
12208153,"[12207266, 12207560, 54651086, 11658897, 23966742, 53977565]","[12207266, 52317347, 12207560, 54651086, 11658897, 53977565]"
978036,"[65084136, 1664525, 48018648, 37667006, 54389407]","[26145056, 31265956, 33581326, 28055759, 48018648, 50317469, 54389407]"
342132,"[1935363, 342120, 342121, 57905707, 555820, 508688, 7611825, 557849]","[341792, 63473606, 342120, 342121, 517289, 517260]"
342128,"[341793, 342120, 342123, 342129, 342130, 508792]","[342144, 508801, 508870, 342120, 342123, 342125, 508783, 342129]"
33581326,"[31265956, 49895271, 28040139, 28055759, 4396853, 23966742, 23966746]","[31371712, 26145056, 986210, 31265956, 31375369, 978036]"
921817,"[58390336, 24889348, 25202283, 1664525, 55573620, 37667006]","[58723520, 986210, 31265956, 771591, 65084136, 19346989, 23966743]"
508744,"[813219, 517444, 487240, 342120, 437484, 508688, 440757, 508893]","[1932359, 487240, 14447244, 517260, 21353007, 474227, 51949398]"
54651086,"[52317345, 12207266, 58457390, 11658897, 12208153, 53977374]","[52317345, 52317347, 52317351, 11658897, 12208153, 53977374]"
12207560,"[12207266, 52317347, 54651086, 12208153, 53977565, 37667006]","[12207266, 52317347, 54651086, 11658897, 12208153, 53977565]"
342130,"[342123, 342124, 342125, 342128, 342129]","[508864, 508801, 508870, 342123, 508812, 508783, 508792, 557849, 508893]"
557814,"[342144, 508835, 542778, 508741, 342120, 508688, 7611825, 557849, 36710746]","[508741, 1932359, 508682, 555820, 557809, 490898, 544917, 42873277]"
31375369,"[31371712, 58390336, 31265956, 28055759, 31362547, 4087415]","[31371712, 31265956, 28040139, 31362547, 31367323]"
508750,"[746432, 508835, 435504, 57219188, 557849, 369179, 55881500, 8325629]","[508898, 508835, 54694180, 508741, 57219188, 508826, 55881500, 8325629]"
28055759,"[31265956, 31375369, 28040139, 33581326, 31362547]","[31371712, 31265956, 31375369, 33581326, 978036]"
986210,"[52317345, 54389415, 3738989, 1664525, 56115411, 37667006, 53977374]","[12207266, 12207560, 33581326, 921817, 12208153]"
342144,"[341792, 542778, 508741, 2939817, 816714, 508682, 508881, 557814, 36710746]","[341792, 508801, 62373313, 342120, 342125, 342128, 342129]"
342124,"[341793, 342123, 342125, 342129, 342130, 49305978]","[341793, 508898, 425731, 342125, 508881, 57219188, 997531, 8325629]"
508812,"[341793, 508898, 508870, 508745, 342130, 508790, 508792, 508893]","[508835, 508752, 508688, 508826, 508891, 508893]"
342129,"[342120, 342123, 342124, 342125, 342130, 49305978]","[342144, 341793, 342120, 347755, 342125, 342128]"
31371712,"[31265956, 31375369, 28055759, 31362547, 31367323]","[31265956, 31375369, 33581326, 31362547, 31367323]"
508835,"[508741, 508682, 508750, 508783, 508688, 2298675, 557814, 508790, 508792, 517337]","[54694180, 829894, 829896, 508812, 508750, 508688, 508752, 508826, 508891, 55881500]"
508745,"[508898, 508870, 508812, 342128, 56512145, 1651903]","[54694180, 508812, 508752, 508826, 508891, 508893]"
341793,"[508812, 342124, 342125, 342130, 508893, 36899261]","[342120, 342124, 342125, 342129, 14513941, 557814, 14513943, 14513945]"
4087415,"[31371712, 49895267, 31265956, 54389413, 15734790, 31375369, 48982090, 28055759, 31362547, 55582071]","[52317347, 55695623, 55696265, 28040139, 48754164, 67349493, 50317469, 58709179, 56410108, 48753629]"
1738407,"[26145056, 58723520, 65084136, 3738989, 800399, 67349493, 27979415, 10123965]","[4106563, 50006794, 3738989, 800399, 56115411, 23966743, 4396853, 27979415, 23966748]"
508881,"[342144, 508682, 555820, 557809, 7611825, 324921]","[508682, 342124, 555820, 557809, 7611825, 474227, 8325629]"
508826,"[508891, 517260, 48481710, 508752, 557809, 517435]","[508812, 508752, 508688, 508891, 508893]"
508891,"[508898, 508752, 508688, 541333, 28284599, 508826, 369179]","[508835, 508812, 508752, 508688, 508826, 508893]"
342125,"[341793, 342123, 342124, 342129, 342130, 49305978]","[508898, 54694180, 342123, 347755, 342128, 342129, 517337]"
47873242,"[11821857, 14453320, 10731212, 31293420, 10731214]","[49883392, 49884647, 52124332, 31293420, 50477553]"
58340699,"[11821857, 14453320, 10731212, 10731214, 58828014]","[15257986, 14453320, 63540234, 13407567, 43262261]"
62686754,"[48035297, 51314914, 57502155, 48583250, 51730397]","[59260775, 56758251, 66698585, 49311355, 51730397]"
62686750,"[575916, 648662, 899996, 603549, 655743]","[599650, 60179274, 449356, 58973811, 58165557, 62686748, 68267101]"
59260775,"[48035297, 51314914, 57502155, 48583250, 51730397]","[62686754, 57502155, 58168943, 66698585, 51730397]"
59405732,"[59405728, 54739908, 54739910, 65076824, 59405726]","[23435111, 14453320, 44251087, 50263061, 50724989]"
66698585,"[48035297, 51314914, 57502155, 48583250, 51730397]","[62686754, 51314914, 54378885, 59260775, 51730397]"
60179260,"[58695876, 391461, 56730475, 67370867, 448124]","[58695876, 475653, 475657, 56730475, 67370867]"
63924627,"[49883392, 58444770, 68423755, 66955373, 48035321]","[20875301, 814664, 68423755, 13191597, 24467223, 1646717, 10722462]"
67370865,"[15258001, 58340179, 59548339, 67370871, 58547388, 57355743]","[53834819, 67370861, 29349773, 48583252, 7287543, 8021467]"
35170705,"[11821857, 14453320, 10731212, 10731214, 10731216]","[13191593, 36782929, 15258003, 10731222, 36612792]"
58695890,"[48035297, 51314914, 57502155, 48583250, 51730397]","[51314914, 56758251, 51730397, 55138389, 50350077]"
67370867,"[58695876, 391461, 56730475, 67370867, 448124]","[58695876, 475653, 475657, 56730475, 67370867]"
58695876,"[58695876, 391461, 56730475, 67370867, 448124]","[475653, 475657, 56730475, 67370867, 60179260]"
67872217,"[49377828, 48035345, 48313524, 48313526, 1086140]","[50215275, 48035345, 48313524, 48313526, 49204089]"
66698570,"[48963465, 57590002, 37865684, 46009013, 54383647]","[48963465, 57590002, 37865684, 46009013, 54383647]"
66452057,"[655138, 465124, 701864, 8000657, 6436123]","[58444772, 58062996, 60878132, 67872213, 59144124]"
58165557,"[575916, 648662, 899996, 603549, 655743]","[1060870, 49311341, 60179278, 49848854, 68267101, 62686750]"
58168943,"[48035297, 51314914, 57502155, 48583250, 51730397]","[51314914, 59260775, 57502155, 56758251, 51730397]"
56730475,"[58695876, 391461, 56730475, 67370867, 448124]","[58695876, 475653, 475657, 67370867, 60179260]"
1229611,"[430787, 10084268, 56857971, 54653560, 49204089]","[13116553, 13116555, 33543697, 9793458, 33543701]"
59260763,"[48963465, 52672778, 66698570, 57590002, 2291097, 54383647]","[58695876, 475657, 56730475, 67370867, 60179260]"
13920941,"[56702563, 19824204, 19824206, 10738198, 47873242, 11478941]","[46829124, 58695878, 39909008, 11806673, 55505596]"
65484237,"[7614603, 8126225, 9793462, 10605526, 35720699]","[19884258, 53834819, 507147, 31523060, 58973114, 46009052, 51040669]"
60878132,"[655138, 465124, 701864, 8000657, 6436123]","[58444772, 58062996, 60878132, 67872213, 59144124]"
19824204,"[10861829, 13920941, 10862928, 10860626, 10862745]","[10733034, 10733036, 10920461, 12081423, 12081425]"
63924615,"[59402594, 56305836, 55358261, 48035321, 49550302]","[59402594, 66955369, 58359665, 58063032, 58839708]"
65076824,"[56452874, 56452879, 65076822, 54710747, 59405726]","[54739908, 54739910, 58726004, 65076822, 59405726]"
65484233,"[7614603, 60179278, 67370863, 8126225, 58973106]","[31523046, 66698573, 60179278, 67370863, 58973106]"
49204089,"[49377828, 48035345, 48313524, 48313526, 1086140]","[50322436, 50215275, 48313524, 48313526, 52112538]"
58695878,"[853251, 1387525, 6542807, 1689849, 656890]","[22169380, 46829124, 22169382, 13958442, 55505596]"
65484221,"[60179266, 57177026, 58340167, 67370861, 57805747]","[57177026, 60179266, 58340167, 58973104, 57805747]"
60179270,"[7614603, 8126225, 13407573, 9793462, 10605526]","[48392556, 36723886, 46829135, 31523060, 38385436]"
59405728,"[54739908, 59405732, 54739910, 65076824, 59405726]","[59405732, 63587076, 23435111, 43262253, 15257979, 55505598]"
57502155,"[48035297, 51314914, 58168943, 48583250, 51730397]","[51314914, 59260775, 56758251, 58168943, 51730397]"
59405726,"[56452874, 56452879, 65076822, 54710747, 59405726]","[54739908, 54739910, 59405715, 37420467, 54710747]"
62686770,"[57502148, 66698581, 58179126, 59260761, 58695934]","[57502148, 66698581, 58179126, 59260761, 58695934]"
48313524,"[49377828, 48035345, 48313526, 1086140, 52380895]","[50322436, 50215275, 48313524, 48313526, 52112538]"
67010757,"[56452874, 56452879, 65076822, 65076824, 59405726]","[65484227, 10759592, 396815, 396818, 58340179, 7614611, 970932, 963061, 922393, 51286715]"
66955373,"[49883392, 58444770, 63924627, 48035321, 7496285]","[55187168, 355552, 51690187, 20485914, 66452059, 60878107, 62686748]"
48035345,"[49377828, 48035345, 48313526, 1086140, 52380895]","[50322436, 50215275, 48313524, 48313526, 49204089]"
59402594,"[56305836, 55358261, 48035321, 58839708, 49550302]","[59402594, 66955369, 58359665, 58063032, 58839708]"
509618,"[397380, 391461, 395656, 448124, 448126]","[397380, 391461, 395656, 448124, 448126]"
59405715,"[58709858, 20875301, 65076822, 65076824, 59405726]","[57042636, 48754637, 23423959, 44859960, 59405726]"
60179278,"[7614603, 60179278, 67370863, 8126225, 58973106]","[31523046, 65484233, 552201, 67370863, 58973106]"
55138389,"[48035297, 51314914, 57502155, 48583250, 51730397]","[51314914, 54378885, 56758251, 51730397, 50350077]"
12489237,"[11821857, 14453320, 10731212, 10731214, 10731216]","[5535273, 10731210, 10731212, 10731214, 10731216]"
59144124,"[655138, 465124, 701864, 8000657, 6436123]","[58444772, 58062996, 60878132, 67872213, 59144124]"
65484231,"[49848832, 55505600, 57794057, 58340175, 58973116]","[49848832, 60179274, 602445, 58340175, 67370871, 58973116]"
66698583,"[58709858, 68267116, 56758253, 58168941, 58695892]","[68267116, 58168941, 51251341, 58695892, 38385436]"
600572,"[52593601, 62686754, 686702, 685871, 4628751, 48583255, 47873242, 58340699, 686717]","[600544, 1086148, 475751, 4628751, 56857971, 27589910, 54653560, 1674171, 2567613]"
48313526,"[49377828, 48035345, 48313526, 1086140, 52380895]","[50322436, 50215275, 48313524, 48313526, 52112538]"
66698569,"[68267110, 43986343, 48035307, 48963471, 46626781]","[43986343, 37865675, 48035307, 48963471, 35905907]"
56758251,"[48035297, 51314914, 57502155, 48583250, 51730397]","[51314914, 54378885, 57502155, 51730397, 50350077]"
54378885,"[48035297, 51314914, 57502155, 56029102, 51730397]","[48035297, 51314914, 48583250, 49311355, 51730397]"
60179276,"[46009030, 55507724, 54737169, 46829139, 48963475]","[10690919, 55507724, 58340173, 54737169, 48963475, 51064283]"
66698579,"[68267108, 57177038, 58973108, 57805749, 55505594]","[655138, 68267108, 55074313, 7614611, 10731222]"
58340177,"[34123144, 55074315, 428435, 56982072, 1670617, 46009050]","[34123144, 55074315, 58976141, 2463217, 19858450, 10392851, 46009050]"
57590002,"[48963465, 57590002, 37865684, 46009013, 54383647]","[48963465, 66698570, 37865684, 46009013, 54383647]"
65076822,"[56452874, 56452879, 65076822, 54710747, 59405726]","[2213443, 17597771, 51284501, 65076824, 3671837]"
54737990,"[50766763, 1446609, 46253842, 49369651, 8277556, 685878, 24957721, 58547388, 33733791]","[600544, 14958065, 46253842, 17597751, 15867704, 13602749]"
60878105,"[59144128, 58444770, 67872209, 7614611, 66452055]","[59144128, 58444770, 51314914, 67872209, 66452055]"
62686748,"[68267104, 7125313, 22729509, 57508101, 526731, 8126224, 2612567]","[68267104, 57508101, 66698573, 54383736, 59260767]"
58973114,"[7614603, 8126225, 9793462, 10605526, 11821883]","[57177056, 38385436, 46829135, 31523060, 46009052]"
